Cod,EAN,Nume,Culoare,Brand,"In stoc","Pret normal","Pret promo","Pret promo data inceput","Pret promo data sfarsit",Descriere,Imagine,"Imagini secundare",Categorie,Greutate
A0045,5907644000456,"Set unghiera si pila Akuku A0045 Alb",Alb,AKUKU,1,13.0000,,,,"<p>Kit Akuku pentru ingrijirea unghiilor</p>
<p>Kitul face ingrijirea unghiilor mai usoara pentru fiecare mamica. Unghiera cu limitator permite taierea in siguranta a unghiilor mici, iar pila va indeparta orice neregularitate, protejand copilul de zgarieturi. Pentru a minimiza riscul de a se misca brusc, se recomanda taierea unghiilor in timpul somnului.</p>
<p>Setul include:</p>
<p>- unghiera din otel inoxidabil cu limitator</p>
<p>- pila de unghii</p>",https://www.puimic.ro/media/catalog/product//p/r/product-9220.jpg,,"Igiena si ingrijire>Igiena si ingrijire/Manichiura>AKUKU",0.1000
A0040,5907644000401,"Kit de manichiura pentru bebelusi Akuku A0040 Menta",Verde,AKUKU,0,20.0000,,,,"<p>Kit Akuku pentru ingrijirea unghiilor</p>
<p>Kitul face ingrijirea unghiilor mai usoara pentru fiecare mamica. Forfecuta cu lame subtiri si rotunjite si unghiera cu limitator permite taierea in siguranta a unghiilor mici, iar pila va indeparta orice neregularitate, protejand copilul de zgarieturi. Pentru a minimiza riscul de a se misca brusc, se recomanda taierea unghiilor in timpul somnului.</p>
<p>Setul include:</p>
<p>- forfecuta</p>
<p>- unghiera din otel inoxidabil cu limitator</p>
<p>- pila de unghii</p>",https://www.puimic.ro/media/catalog/product//p/r/product-2159.jpg,,"Igiena si ingrijire>Igiena si ingrijire/Manichiura>AKUKU",0.1000
A0042,5907644000425,"Kit de manichiura pentru bebelusi Akuku A0042 Rosu",Visiniu,AKUKU,1,20.0000,,,,"<p>Kit Akuku pentru ingrijirea unghiilor</p>
<p>Kitul face ingrijirea unghiilor mai usoara pentru fiecare mamica. Forfecuta cu lame subtiri si rotunjite si unghiera cu limitator permite taierea in siguranta a unghiilor mici, iar pila va indeparta orice neregularitate, protejand copilul de zgarieturi. Pentru a minimiza riscul de a se misca brusc, se recomanda taierea unghiilor in timpul somnului.</p>
<p>Setul include:</p>
<p>- forfecuta</p>
<p>- unghiera din otel inoxidabil cu limitator</p>
<p>- pila de unghii</p>",https://www.puimic.ro/media/catalog/product//p/r/product-9381.jpeg,"https://www.puimic.ro/media/catalog/product//f/o/foto_add-21759.jpeg, https://www.puimic.ro/media/catalog/product//p/r/product-9381.jpeg","Igiena si ingrijire>Igiena si ingrijire/Manichiura>AKUKU",0.1000
A0308,5907644003082,"Kit de manichiura si par pentru bebelusi Akuku A0308 Albastru",Albastru,AKUKU,1,49.0000,,,,"<p>Kit Akuku pentru ingrijirea unghiilor si parului</p>
<p>Kitul face ingrijirea unghiilor mai usoara pentru fiecare mamica. Forfecuta cu lame subtiri si rotunjite si unghiera cu limitator permite taierea in siguranta a unghiilor mici, iar pila va indeparta orice neregularitate, protejand copilul de zgarieturi. In plus, o perie moale si un pieptene cu manere aderente permit ingrijirea parului copilului.</p>
<p>Pentru a minimiza riscul de a se misca brusc, se recomanda taierea unghiilor in timpul somnului.</p>
<p>Setul include:</p>
<p>- forfecuta</p>
<p>- unghiera din otel inoxidabil cu limitator</p>
<p>- pila de unghii</p>
<p>- pieptene</p>
<p>- perie de par</p>",https://www.puimic.ro/media/catalog/product//f/o/foto_add-13559.jpg,"https://www.puimic.ro/media/catalog/product//f/o/foto_add-13560.jpg, https://www.puimic.ro/media/catalog/product//f/o/foto_add-19600.jpeg, https://www.puimic.ro/media/catalog/product//f/o/foto_add-19603.jpeg, https://www.puimic.ro/media/catalog/product//f/o/foto_add-19601.jpeg, https://www.puimic.ro/media/catalog/product//f/o/foto_add-19605.jpeg, https://www.puimic.ro/media/catalog/product//f/o/foto_add-19604.jpeg, https://www.puimic.ro/media/catalog/product//f/o/foto_add-19602.jpeg","Igiena si ingrijire>Igiena si ingrijire/Manichiura>AKUKU>Igiena si ingrijire/Perii/Piepteni",0.1000
A0458,5907644004584,"Kit de manichiura si par pentru bebelusi Akuku A0458 Roz",Roz,AKUKU,1,49.0000,,,,"<p>Kit Akuku pentru ingrijirea unghiilor si parului</p>
<p>Kitul face ingrijirea unghiilor mai usoara pentru fiecare mamica. Forfecuta cu lame subtiri si rotunjite si unghiera cu limitator permite taierea in siguranta a unghiilor mici, iar pila va indeparta orice neregularitate, protejand copilul de zgarieturi. In plus, o perie moale si un pieptene cu manere aderente permit ingrijirea parului copilului.</p>
<p>Pentru a minimiza riscul de a se misca brusc, se recomanda taierea unghiilor in timpul somnului.</p>
<p>Setul include:</p>
<p>- forfecuta</p>
<p>- unghiera din otel inoxidabil cu limitator</p>
<p>- pila de unghii</p>
<p>- pieptene</p>
<p>- perie de par</p>",https://www.puimic.ro/media/catalog/product//f/o/foto_add-13562.jpg,"https://www.puimic.ro/media/catalog/product//f/o/foto_add-19601_1.jpeg, https://www.puimic.ro/media/catalog/product//f/o/foto_add-19602_1.jpeg, https://www.puimic.ro/media/catalog/product//f/o/foto_add-13562.jpg, https://www.puimic.ro/media/catalog/product//f/o/foto_add-13561.jpg","Igiena si ingrijire>Igiena si ingrijire/Manichiura>AKUKU>Igiena si ingrijire/Perii/Piepteni",0.1000
TOYZ-0407,5908310388007,"Trotineta pentru copii Toyz HUGO Albastra",Albastru,TOYZ,1,285.0000,,,,"<p>Trotineta cu balans a fost proiectata pentru micii fani ai jocurilor de exterior. Imbunatateste conditia fizica si antreneaza simtul echilibrului. Hugo se distinge prin aspect in timpul zilei. Noaptea, el atrage prin rotile luminoase si cu lumina frontala cu 3 moduri de iluminare.&nbsp;</p>
<p>Trotineta are frana pe roata din spate, suprafata aderenta si un maner reglabil pe inaltime, care poate fi pliat dupa joaca.</p>
<p>Ce castigati cumparand o trotineta Hugo pentru copilul dumneavoastra?</p>
<p><strong>Conducere in siguranta pentru toata lumea</strong> - Cele 3 roti permit pastrarea echilibrului chiar si de catre cei mai mici copii</p>
<p><strong>Viraje usoare</strong> - Prin balansarea intregului corp in directia dorita</p>
<p><strong>Aspect futurist</strong>&nbsp;</p>
<p><strong>Distractie dupa lasarea serii</strong> - Datorita luminilor din roti si din lampa frontala cu LED-uri albe si albastre</p>
<p><strong>Reglare simpla la inaltimea copilului</strong> - Datorita reglarii pe inaltime a ghidonului in 3 pozitii</p>
<p><strong>Garantia sigurantei</strong> - Trotineta este conforma cu standardele&nbsp;EN71-1-2-3, EN62115: 2005 + A2: 2011 + A11: 2012 + A12: 2015</p>
<p><strong>Usor de transportat</strong> - Se pliaza compact</p>
<p><strong>DATE TEHNICE:</strong></p>
<p><strong>Varsta:</strong> 3+ ani<br /><strong>Dimensiuni (Lxlxh):</strong> 63x30x71/75/80 cm<br /><strong>Dimensiuni pliat (Lxlxh):</strong>&nbsp;65x30x26 cm<br /><strong>Greutate:</strong>&nbsp;4 kg<br /><strong>Greutate maxima admisa:</strong> 50 kg<br /><strong>Dimensiuni roti:</strong>&nbsp;Fata: 12 cm; Spate: 8 cm;</p>",https://www.puimic.ro/media/catalog/product//h/u/hugo_blue_01.jpg,"https://www.puimic.ro/media/catalog/product//h/u/hugo_blue_02.jpg, https://www.puimic.ro/media/catalog/product//h/u/hugo_blue_01.jpg",Jucarii>Trotinete>Jucarii/Trotinete>Jucarii/Trotinete>Jucarii,4.0000
TOYZ-0408,5908310388014,"Trotineta pentru copii Toyz HUGO Rosie",Rosu,TOYZ,1,285.0000,,,,"<p>Trotineta cu balans a fost proiectata pentru micii fani ai jocurilor de exterior. Imbunatateste conditia fizica si antreneaza simtul echilibrului. Hugo se distinge prin aspect in timpul zilei. Noaptea, el atrage prin rotile luminoase si cu lumina frontala cu 3 moduri de iluminare.&nbsp;</p>
<p>Trotineta are frana pe roata din spate, suprafata aderenta si un maner reglabil pe inaltime, care poate fi pliat dupa joaca.</p>
<p>Ce castigati cumparand o trotineta Hugo pentru copilul dumneavoastra?</p>
<p><strong>Conducere in siguranta pentru toata lumea</strong> - Cele 3 roti permit pastrarea echilibrului chiar si de catre cei mai mici copii</p>
<p><strong>Viraje usoare</strong> - Prin balansarea intregului corp in directia dorita</p>
<p><strong>Aspect futurist</strong>&nbsp;</p>
<p><strong>Distractie dupa lasarea serii</strong> - Datorita luminilor din roti si din lampa frontala cu LED-uri albe si albastre</p>
<p><strong>Reglare simpla la inaltimea copilului</strong> - Datorita reglarii pe inaltime a ghidonului in 3 pozitii</p>
<p><strong>Garantia sigurantei</strong> - Trotineta este conforma cu standardele&nbsp;EN71-1-2-3, EN62115: 2005 + A2: 2011 + A11: 2012 + A12: 2015</p>
<p><strong>Usor de transportat</strong> - Se pliaza compact</p>
<p><strong>DATE TEHNICE:</strong></p>
<p><strong>Varsta:</strong> 3+ ani<br /><strong>Dimensiuni (Lxlxh):</strong> 63x30x71/75/80 cm<br /><strong>Dimensiuni pliat (Lxlxh):</strong>&nbsp;65x30x26 cm<br /><strong>Greutate:</strong>&nbsp;4 kg<br /><strong>Greutate maxima admisa:</strong> 50 kg<br /><strong>Dimensiuni roti:</strong>&nbsp;Fata: 12 cm; Spate: 8 cm;</p>",https://www.puimic.ro/media/catalog/product//h/u/hugo_red_01.jpg,"https://www.puimic.ro/media/catalog/product//h/u/hugo_red_02.jpg, https://www.puimic.ro/media/catalog/product//h/u/hugo_red_01.jpg",Jucarii>Trotinete>Jucarii/Trotinete>Jucarii/Trotinete>Jucarii,4.0000
TOYZ-0409,5908310388021,"Trotineta pentru copii Toyz HUGO Galbena",Galben,TOYZ,1,285.0000,,,,"<p>Trotineta cu balans a fost proiectata pentru micii fani ai jocurilor de exterior. Imbunatateste conditia fizica si antreneaza simtul echilibrului. Hugo se distinge prin aspect in timpul zilei. Noaptea, el atrage prin rotile luminoase si cu lumina frontala cu 3 moduri de iluminare.&nbsp;</p>
<p>Trotineta are frana pe roata din spate, suprafata aderenta si un maner reglabil pe inaltime, care poate fi pliat dupa joaca.</p>
<p>Ce castigati cumparand o trotineta Hugo pentru copilul dumneavoastra?</p>
<p><strong>Conducere in siguranta pentru toata lumea</strong> - Cele 3 roti permit pastrarea echilibrului chiar si de catre cei mai mici copii</p>
<p><strong>Viraje usoare</strong> - Prin balansarea intregului corp in directia dorita</p>
<p><strong>Aspect futurist</strong>&nbsp;</p>
<p><strong>Distractie dupa lasarea serii</strong> - Datorita luminilor din roti si din lampa frontala cu LED-uri albe si albastre</p>
<p><strong>Reglare simpla la inaltimea copilului</strong> - Datorita reglarii pe inaltime a ghidonului in 3 pozitii</p>
<p><strong>Garantia sigurantei</strong> - Trotineta este conforma cu standardele&nbsp;EN71-1-2-3, EN62115: 2005 + A2: 2011 + A11: 2012 + A12: 2015</p>
<p><strong>Usor de transportat</strong> - Se pliaza compact</p>
<p><strong>DATE TEHNICE:</strong></p>
<p><strong>Varsta:</strong> 3+ ani<br /><strong>Dimensiuni (Lxlxh):</strong> 63x30x71/75/80 cm<br /><strong>Dimensiuni pliat (Lxlxh):</strong>&nbsp;65x30x26 cm<br /><strong>Greutate:</strong>&nbsp;4 kg<br /><strong>Greutate maxima admisa:</strong> 50 kg<br /><strong>Dimensiuni roti:</strong>&nbsp;Fata: 12 cm; Spate: 8 cm;</p>",https://www.puimic.ro/media/catalog/product//h/u/hugo_yellow_01.jpg,https://www.puimic.ro/media/catalog/product//h/u/hugo_yellow_02.jpg,Jucarii>Trotinete>Jucarii/Trotinete>Jucarii/Trotinete>Jucarii,4.0000
SILLO-20604,5908310388038,"Saltea suplimentara pentru carucior 100% bumbac Sensillo MINKY Ursi Blumarin",Albastru,SENSILLO,1,65.0000,,,,"<p>Salteaua suplimentara pentru carucior este realizata pe o parte din material Minky 100% bumbac, iar pe cealalta parte din poliester fin si placut la atingere. Umplutura este moale, dar totusi suficient de groasa. Proiectata pentru carucioare sport si landouri. Are orificii pentru centuri, asa incat se potriveste in orice carucior. In plus, protejeaza caruciorul impotriva mizeriei si imbunatateste confortul in timpul plimbarilor.</p>
<p>CARACTERISTICI:</p>
<p>Proiectata pentru carucioare sport si landouri</p>
<p>Instalare simpla in orice carucior datorita orificiilor pentru centurile de siguranta</p>
<p>Umplutura din spuma poliuretanica</p>
<p>Protejeaza impotriva murdariei</p>
<p>Poate fi folosita pe ambele parti (Minky sau poliester)</p>
<p>Panglici pentru legarea saltelei de carucior</p>
<p><strong>DATE TEHNICE:</strong></p>
<p><strong>Dimensiuni:</strong> 80x35 cm<br /><strong>Husa:</strong> 100% bumbac pe o parte; Poliester pe cealalta parte;<br /><strong>Intretinere:</strong> Se spala manual la maximum 30&deg;C; Nu se inalbeste; Nu se curata chimic; Se calca la maximum 110&deg;C;</p>",https://www.puimic.ro/media/catalog/product//w/k/wkladka_basic_misie_granatowe_01.jpg,"https://www.puimic.ro/media/catalog/product//w/k/wkladka_basic_misie_granatowe_03.jpg, https://www.puimic.ro/media/catalog/product//w/k/wkladka_basic_misie_granatowe_02.jpg, https://www.puimic.ro/media/catalog/product//w/k/wkladka_basic_misie_granatowe_05.jpg, https://www.puimic.ro/media/catalog/product//w/k/wkladka_basic_misie_granatowe_04.jpg","La plimbare/Carucioare>La plimbare>La plimbare/Carucioare/Accesorii pentru carucior>Accesorii carucior>La plimbare/Carucioare/Accesorii carucior>La plimbare/Carucioare>La plimbare",1.0000
SILLO-20601,5903076306166,"Saltea suplimentara pentru carucior 100% bumbac Sensillo MINKY Papadii Gri",Gri,SENSILLO,1,65.0000,,,,"<p>Salteaua suplimentara pentru carucior este realizata pe o parte din material Minky 100% bumbac, iar pe cealalta parte din poliester fin si placut la atingere. Umplutura este moale, dar totusi suficient de groasa. Proiectata pentru carucioare sport si landouri. Are orificii pentru centuri, asa incat se potriveste in orice carucior. In plus, protejeaza caruciorul impotriva mizeriei si imbunatateste confortul in timpul plimbarilor.</p>
<p>CARACTERISTICI:</p>
<p>Proiectata pentru carucioare sport si landouri</p>
<p>Instalare simpla in orice carucior datorita orificiilor pentru centurile de siguranta</p>
<p>Umplutura din spuma poliuretanica</p>
<p>Protejeaza impotriva murdariei</p>
<p>Poate fi folosita pe ambele parti (Minky sau poliester)</p>
<p>Panglici pentru legarea saltelei de carucior</p>
<p><strong>DATE TEHNICE:</strong></p>
<p><strong>Dimensiuni:</strong> 80x35 cm<br /><strong>Husa:</strong> 100% bumbac pe o parte; Poliester pe cealalta parte;<br /><strong>Intretinere:</strong> Se spala manual la maximum 30&deg;C; Nu se inalbeste; Nu se curata chimic; Se calca la maximum 110&deg;C;</p>",https://www.puimic.ro/media/catalog/product//w/k/wkladka_dmuchawce_szare_01.jpg,"https://www.puimic.ro/media/catalog/product//w/k/wkladka_dmuchawce_szare_02.jpg, https://www.puimic.ro/media/catalog/product//w/k/wkladka_dmuchawce_szare_03.jpg, https://www.puimic.ro/media/catalog/product//w/k/wkladka_dmuchawce_szare_01.jpg, https://www.puimic.ro/media/catalog/product//w/k/wkladka_dmuchawce_szare_04.jpg, https://www.puimic.ro/media/catalog/product//w/k/wkladka_dmuchawce_szare_05.jpg","La plimbare/Carucioare>La plimbare>La plimbare/Carucioare/Accesorii pentru carucior>Accesorii carucior>La plimbare/Carucioare/Accesorii carucior>La plimbare/Carucioare>La plimbare",1.0000
